DATE,chicken,tomato,banana,icecream,chips
1980-01-01,1.06,0.703,0.319,1.755,1.981
1980-02-01,1.024,0.586,0.345,1.775,1.994
1980-03-01,0.985,0.642,0.355,1.718,2.003
1980-04-01,0.967,0.634,0.353,1.769,2.006
1980-05-01,0.985,0.737,0.357,1.822,2.006
1980-06-01,1.005,0.745,0.348,1.832,2.018
1980-07-01,1.067,0.683,0.332,1.831,2.012
1980-08-01,1.127,0.646,0.335,1.873,2.046
1980-09-01,1.164,0.679,0.335,1.825,2.035
1980-10-01,1.145,0.764,0.335,1.879,2.066
1980-11-01,1.13,0.603,0.339,1.878,2.138
1980-12-01,1.141,0.662,0.349,1.92,2.176
1981-01-01,1.15,0.792,0.343,1.938,2.203
1981-02-01,1.147,1.016,0.366,2.019,2.195
1981-03-01,1.128,1.166,0.377,1.992,2.229
1981-04-01,1.046,1.201,0.377,2.024,2.277
1981-05-01,1.105,0.607,0.379,2.008,2.271
1981-06-01,1.101,0.639,0.369,2.006,2.295
1981-07-01,1.156,0.614,0.341,2.024,2.256
1981-08-01,1.137,0.659,0.351,2.014,2.293
1981-09-01,1.124,0.604,0.358,2.042,2.301
1981-10-01,1.126,0.652,0.364,2.032,2.324
1981-11-01,1.109,0.646,0.355,2.028,2.375
1981-12-01,1.099,0.642,0.364,2.064,2.338
1982-01-01,1.112,0.763,0.364,2.128,2.38
1982-02-01,1.099,0.901,0.359,2.075,2.413
1982-03-01,1.062,0.778,0.373,2.061,2.391
1982-04-01,1.029,0.664,0.38,2.089,2.38
1982-05-01,1.074,0.694,0.372,2.043,2.4
1982-06-01,1.072,0.869,0.381,2.06,2.385
1982-07-01,1.102,0.837,0.344,2.092,2.394
1982-08-01,1.082,0.584,0.332,2.095,2.424
1982-09-01,1.062,0.548,0.343,2.105,2.4
1982-10-01,1.061,0.633,0.317,2.136,2.431
1982-11-01,1.034,0.744,0.344,2.187,2.388
1982-12-01,1.042,0.849,0.337,2.163,2.395
1983-01-01,1.021,0.726,0.332,2.179,2.441
1983-02-01,1.042,0.814,0.352,2.139,2.486
1983-03-01,1.052,1.081,0.357,2.091,2.508
1983-04-01,1.048,1.011,0.416,2.107,2.52
1983-05-01,1.069,0.95,0.438,2.14,2.536
1983-06-01,1.02,0.797,0.449,2.141,2.472
1983-07-01,1.067,0.732,0.462,2.122,2.475
1983-08-01,1.046,0.584,0.403,2.135,2.524
1983-09-01,1.05,0.621,0.394,2.193,2.54
1983-10-01,1.017,0.709,0.385,2.249,2.5
1983-11-01,1.006,0.726,0.327,2.214,2.515
1983-12-01,1.075,0.663,0.315,2.184,2.526
1984-01-01,1.178,0.854,0.344,2.189,2.492
1984-02-01,1.259,0.998,0.373,2.191,2.564
1984-03-01,1.236,0.973,0.373,2.171,2.516
1984-04-01,1.191,0.839,0.389,2.21,2.52
1984-05-01,1.155,0.766,0.354,2.203,2.558
1984-06-01,1.169,0.778,0.391,2.193,2.561
1984-07-01,1.173,0.692,0.386,2.212,2.577
1984-08-01,1.109,0.901,0.362,2.232,2.6
1984-09-01,1.137,0.741,0.35,2.301,2.613
1984-10-01,1.092,0.744,0.341,2.259,2.628
1984-11-01,1.065,0.724,0.333,2.223,2.592
1984-12-01,1.084,0.678,0.317,2.231,2.58
1985-01-01,1.131,0.697,0.35,2.284,2.602
1985-02-01,1.09,0.84,0.378,2.291,2.609
1985-03-01,1.079,0.945,0.394,2.29,2.609
1985-04-01,1.048,1.194,0.422,2.291,2.629
1985-05-01,1.065,0.681,0.392,2.312,2.615
1985-06-01,1.066,0.624,0.399,2.276,2.607
1985-07-01,1.094,0.665,0.348,2.293,2.615
1985-08-01,1.061,0.642,0.361,2.273,2.601
1985-09-01,1.06,0.616,0.376,2.345,2.558
1985-10-01,1.031,0.673,0.346,2.347,2.596
1985-11-01,1.051,0.808,0.316,2.29,2.598
1985-12-01,1.142,0.953,0.321,2.294,2.631
1986-01-01,1.115,1.104,0.337,2.317,2.61
1986-02-01,1.089,0.752,0.378,2.346,2.608
1986-03-01,1.037,0.773,0.402,2.331,2.625
1986-04-01,1.067,0.805,0.464,2.382,2.621
1986-05-01,1.061,0.879,0.461,2.368,2.622
1986-06-01,1.108,0.802,0.376,2.325,2.708
1986-07-01,1.194,0.737,0.371,2.369,2.644
1986-08-01,1.32,0.686,0.369,2.319,2.72
1986-09-01,1.271,0.674,0.384,2.36,2.701
1986-10-01,1.221,0.811,0.372,2.377,2.752
1986-11-01,1.268,0.919,0.371,2.397,2.742
1986-12-01,1.251,0.943,0.333,2.405,2.749
1987-01-01,NA,NA,NA,NA,2.754
1987-02-01,1.138,NA,NA,2.468,2.786
1987-03-01,1.124,0.76,0.376,2.447,2.808
1987-04-01,1.119,0.82,0.381,2.438,2.804
1987-05-01,1.078,0.788,0.357,2.481,2.776
1987-06-01,1.062,0.883,0.39,2.428,2.801
1987-07-01,1.053,0.816,0.35,2.467,2.785
1987-08-01,1.098,0.664,0.367,2.482,2.717
1987-09-01,1.085,0.735,0.363,2.47,2.701
1987-10-01,1.07,0.777,0.346,2.492,2.674
1987-11-01,1.054,0.992,0.343,2.449,2.734
1987-12-01,1.05,0.996,0.375,2.438,2.674
1988-01-01,1.029,0.871,0.374,2.495,2.631
1988-02-01,0.995,0.856,0.415,2.475,2.597
1988-03-01,1.02,0.744,0.413,2.406,2.604
1988-04-01,1.026,0.902,0.423,2.43,2.58
1988-05-01,1.052,0.859,0.422,2.457,2.598
1988-06-01,1.142,0.765,0.501,2.432,2.572
1988-07-01,1.271,0.798,0.433,2.443,2.616
1988-08-01,1.297,0.819,0.397,2.442,2.617
1988-09-01,1.256,0.874,0.389,2.446,2.636
1988-10-01,1.237,0.853,0.421,2.489,2.62
1988-11-01,1.199,0.856,0.423,2.471,2.662
1988-12-01,1.168,0.812,0.407,2.536,2.699
1989-01-01,1.176,0.797,0.394,2.547,2.711
1989-02-01,1.175,1.051,0.415,2.56,2.876
1989-03-01,1.17,0.891,0.45,2.595,2.906
1989-04-01,1.196,0.97,0.523,2.607,2.95
